SPEC,year,month,n
ANHU,2006,06,15
ANHU,2006,07,4
ANHU,2006,08,2
ANHU,2006,09,2
ANHU,2006,10,3
ANHU,2006,12,4
ANHU,2007,01,5
ANHU,2007,02,1
ANHU,2007,03,2
ANHU,2007,04,3
ANHU,2007,05,6
ANHU,2007,06,10
ANHU,2007,07,7
ANHU,2007,08,5
ANHU,2007,09,4
ANHU,2007,10,4
ANHU,2007,11,2
ANHU,2007,12,2
ANHU,2008,01,1
ANHU,2008,02,2
ANHU,2008,03,2
ANHU,2008,04,2
ANHU,2008,05,3
ANHU,2008,06,6
ANHU,2008,07,3
ANHU,2008,08,8
ANHU,2008,09,7
ANHU,2008,10,3
ANHU,2008,11,2
ANHU,2008,12,5
ANHU,2009,01,3
ANHU,2009,03,6
ANHU,2009,04,1
ANHU,2009,05,3
ANHU,2009,06,7
ANHU,2009,07,10
ANHU,2009,08,9
ANHU,2009,09,3
ANHU,2009,10,6
ANHU,2009,11,4
ANHU,2009,12,1
ANHU,2010,01,4
ANHU,2010,02,4
ANHU,2010,03,4
ANHU,2010,04,4
ANHU,2010,05,5
ANHU,2010,06,5
ANHU,2010,07,7
ANHU,2010,08,5
ANHU,2010,09,2
ANHU,2010,10,6
ANHU,2010,11,2
ANHU,2010,12,4
ANHU,2011,01,5
ANHU,2011,02,2
ANHU,2011,03,4
ANHU,2011,04,2
ANHU,2011,05,4
ANHU,2011,06,10
ANHU,2011,07,2
ANHU,2011,08,3
ANHU,2011,09,2
ANHU,2011,10,11
ANHU,2011,11,4
ANHU,2011,12,3
ANHU,2012,01,2
ANHU,2012,02,2
ANHU,2012,03,2
ANHU,2012,04,3
ANHU,2012,05,6
ANHU,2012,06,3
ANHU,2012,07,7
ANHU,2012,08,5
ANHU,2012,09,3
ANHU,2012,10,8
ANHU,2012,11,4
ANHU,2012,12,4
ANHU,2013,01,8
